,Equipo,Goles,Partidos Jugados,Promedio Goles por Partido
2,Arsenal,12,27,0.44
4,Banfield,20,27,0.74
3,Atl Tucuman,22,27,0.81
22,Sarmiento (J),23,27,0.85
21,San Lorenzo,23,27,0.85
16,Patronato,23,27,0.85
18,Racing Club,24,27,0.89
15,Newells,24,27,0.89
1,Argentinos,26,27,0.96
7,Colon,26,27,0.96
10,Gimnasia (LP),27,27,1.0
13,Independiente,27,27,1.0
12,Huracan,28,27,1.04
0,Aldosivi,29,27,1.07
6,Central Cba (SdE),30,27,1.11
24,Union,32,27,1.19
25,Velez,34,27,1.26
11,Godoy Cruz,35,27,1.3
5,Boca Juniors,35,27,1.3
17,Platense,36,27,1.33
23,Talleres (C),38,27,1.41
20,Rosario Central,39,27,1.44
9,Estudiantes (LP),43,27,1.59
8,Def y Justicia,43,27,1.59
14,Lanus,44,27,1.63
19,River Plate,53,27,1.96
